Component_ID,Device_Count,Device_List,Confidence_Tags,Val_Cooccur_Status,Val_Cooccur_Count,Val_Composite_Status,Val_Composite_Ratio,Val_Reinforce_Score,Evid_Cooccur_Clusters,Evid_Composite_Subs,Evid_Reinforce_Detail,Info_Reinforce_Matched,Info_Reinforce_Total,vendor_state,vendor_detail,device_type_state,device_type_detail,Device,Unnamed: 8,device_vendor,device_type,Remote_IP,Remote_Port,Protocol,Domain_A,Domain_PTR,Remote_domain_best,Sequence_Up,Sequence_Down,Original_Index,Service_Orig,Infra_Orig,Service_Norm,Infra_Norm,Service_Evidence,Infra_Evidence,Is_Strict_Implicit,Consistent_Layers,Cluster_Val_IP,Cluster_Val_Service,Cluster_Val_Infra,Num_Flows,Num_Devices,Num_Vendors
Comp_16369,3,"Lecheng Camera_selfdata,Xiaomi Sound_selfdata,huawei_tv",None,False,1.0,False,0.6666666666666666,0.3333333333333333,,0.0,Service:cn-beijing005-v6.edge.dbankedge.cn(2devs) | Infrastructure:ecs-117-78-15-3.compute.hwclouds-dns.com(2devs) | IP:49.4.38.205(2devs) | Service:hcdnd.gslb.c.cdnhwc2.com(2devs) | IP:49.4.32.7(2devs),1.0,3.0,1,"1Lecheng,1Xiaomi,1Huawei",1,"1Camera,1Speaker,1Huawei",Lecheng Camera_selfdata,1,lecheng,Camera,111.31.68.115,,TCP,50.wxapp.tc.qq.com,,50.wxapp.tc.qq.com,"[74.0, 54.0, 483.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0]","[58.0, 54.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1230.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1513.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 55.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0]",35090,50.wxapp.tc.qq.com,,50.wxapp.tc.qq.com,,50.wxapp.tc.qq.com,,False,,,,,3,3,3
Comp_16369,3,"Lecheng Camera_selfdata,Xiaomi Sound_selfdata,huawei_tv",None,False,1.0,False,0.6666666666666666,0.3333333333333333,,0.0,Service:cn-beijing005-v6.edge.dbankedge.cn(2devs) | Infrastructure:ecs-117-78-15-3.compute.hwclouds-dns.com(2devs) | IP:49.4.38.205(2devs) | Service:hcdnd.gslb.c.cdnhwc2.com(2devs) | IP:49.4.32.7(2devs),1.0,3.0,1,"1Lecheng,1Xiaomi,1Huawei",1,"1Camera,1Speaker,1Huawei",huawei_tv,1,huawei,Huawei,111.161.204.134,,TCP,sx-txvideo-all.volcgtm.com,dns134.online.tj.cn,sx-txvideo-all.volcgtm.com,"[74.0, 54.0, 536.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0]","[58.0, 54.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1513.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 55.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0, 1514.0]",36924,sx-txvideo-all.volcgtm.com,dns134.online.tj.cn,sx-txvideo-all.volcgtm.com,dns134.online.tj.cn,sx-txvideo-all.volcgtm.com,dns134.online.tj.cn,False,,,,,3,3,3
Comp_34026,3,"Nest Tstat_IoTLS,Roku TV_IoTLS,Samsung Dryer_IoTLS",None,False,1.0,False,0.0,0.0,,0.0,No_Evidence,0.0,3.0,1,"1Nest,1Roku,1Samsung",1,"1Thermostat,1TV,1Dryer",Nest Tstat_IoTLS,1,nest,Thermostat,35.190.54.210,,TCP,logsink.devices.nest.com,210.54.190.35.bc.googleusercontent.com,logsink.devices.nest.com,"[74.0, 66.0, 583.0, 66.0, 73.0]","[74.0, 66.0, 1455.0, 652.0, 66.0]",41,logsink.devices.nest.com,210.54.190.35.bc.googleusercontent.com,logsink.devices.nest.com,210.54.190.35.bc.googleusercontent.com,logsink.devices.nest.com,,False,,,,,3,3,3
Comp_34026,3,"Nest Tstat_IoTLS,Roku TV_IoTLS,Samsung Dryer_IoTLS",None,False,1.0,False,0.0,0.0,,0.0,No_Evidence,0.0,3.0,1,"1Nest,1Roku,1Samsung",1,"1Thermostat,1TV,1Dryer",Roku TV_IoTLS,1,roku,TV,54.85.12.87,,TCP,api.rokutime.com,ec2-54-85-12-87.compute-1.amazonaws.com,api.rokutime.com,"[74.0, 66.0, 472.0, 66.0, 73.0]","[74.0, 66.0, 1322.0, 644.0, 66.0]",2103,api.rokutime.com,ec2-54-85-12-87.compute-1.amazonaws.com,api.rokutime.com,ec2-54-85-12-87.compute-1.amazonaws.com,api.rokutime.com,,False,,,,,3,3,3
Comp_34026,3,"Nest Tstat_IoTLS,Roku TV_IoTLS,Samsung Dryer_IoTLS",None,False,1.0,False,0.0,0.0,,0.0,No_Evidence,0.0,3.0,1,"1Nest,1Roku,1Samsung",1,"1Thermostat,1TV,1Dryer",Samsung Dryer_IoTLS,1,samsung,Dryer,34.255.244.154,,TCP,api.cspserver.net,ec2-34-255-244-154.eu-west-1.compute.amazonaws.com,api.cspserver.net,"[74.0, 66.0, 583.0, 66.0, 73.0]","[74.0, 66.0, 1383.0, 645.0, 66.0]",2124,api.cspserver.net,ec2-34-255-244-154.eu-west-1.compute.amazonaws.com,api.cspserver.net,ec2-34-255-244-154.eu-west-1.compute.amazonaws.com,api.cspserver.net,,False,,,,,3,3,3
Comp_00613,2,"Xiaomi Camera_Mon(uk),Yi Camera_Mon(uk)",None,False,1.0,False,0.0,0.0,,0.0,No_Evidence,0.0,1.0,1,"1Xiaomi,1Yi",0,Camera,Yi Camera_Mon(uk),1,yi,Camera,49.51.203.28,,UDP,,,,"[74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0]","[74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 66.0]",11797,,,,,,,False,,,,,2,2,2
Comp_00613,2,"Xiaomi Camera_Mon(uk),Yi Camera_Mon(uk)",None,False,1.0,False,0.0,0.0,,0.0,No_Evidence,0.0,1.0,1,"1Xiaomi,1Yi",0,Camera,Xiaomi Camera_Mon(uk),1,xiaomi,Camera,120.92.67.6,,UDP,,,,"[74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0]","[74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0, 74.0]",12251,,,,,,,False,,,,,2,2,2
Comp_00844,2,"Roku TV_YT,Samsung Smart TV_YT",Cooccur|Reinforce,True,2.0,False,0.0,1.0,Comp_23555,0.0,IP:52.21.158.86(2devs) | Infrastructure:ec2-52-22-215-45.compute-1.amazonaws.com(2devs) | IP:52.207.177.211(2devs) | IP:52.7.241.140(2devs) | Infrastructure:ec2-52-54-201-142.compute-1.amazonaws.com(2devs),1.0,1.0,1,"1Roku,1Samsung",0,TV,Roku TV_YT,1,roku,TV,34.199.253.172,,TCP,Coordinator-TA11-PROD-1362362091.us-east-1.elb.amazonaws.com,ec2-34-199-253-172.compute-1.amazonaws.com,Coordinator-TA11-PROD-1362362091.us-east-1.elb.amazonaws.com,"[74.0, 78.0, 66.0, 70.0, 471.0, 475.0]","[74.0, 78.0, 66.0, 70.0, 66.0]",5138,Coordinator-TA11-PROD-1362362091.us-east-1.elb.amazonaws.com,ec2-34-199-253-172.compute-1.amazonaws.com,coordinator-ta11-prod-1362362091.us-east-1.elb.amazonaws.com,ec2-34-199-253-172.compute-1.amazonaws.com,coordinator-ta11-prod-1362362091.us-east-1.elb.amazonaws.com,,False,,,,,2,2,2
Comp_00844,2,"Roku TV_YT,Samsung Smart TV_YT",Cooccur|Reinforce,True,2.0,False,0.0,1.0,Comp_23555,0.0,IP:52.21.158.86(2devs) | Infrastructure:ec2-52-22-215-45.compute-1.amazonaws.com(2devs) | IP:52.207.177.211(2devs) | IP:52.7.241.140(2devs) | Infrastructure:ec2-52-54-201-142.compute-1.amazonaws.com(2devs),1.0,1.0,1,"1Roku,1Samsung",0,TV,Samsung Smart TV_YT,1,samsung,TV,34.233.75.233,,TCP,log-ingestion.samsungacr.com,ec2-34-233-75-233.compute-1.amazonaws.com,log-ingestion.samsungacr.com,"[74.0, 78.0, 66.0, 70.0, 583.0, 587.0]","[74.0, 78.0, 66.0, 70.0, 66.0]",8835,log-ingestion.samsungacr.com,ec2-34-233-75-233.compute-1.amazonaws.com,log-ingestion.samsungacr.com,ec2-34-233-75-233.compute-1.amazonaws.com,log-ingestion.samsungacr.com,,False,,,,,2,2,2
Comp_00850,2,"Nest CamIQ_YT,Roku TV_YT",None,False,1.0,False,0.0,0.0,,0.0,No_Evidence,0.0,1.0,1,"1Nest,1Roku",1,"1Camera,1TV",Roku TV_YT,1,roku,TV,34.197.193.243,,TCP,Coordinator-TA11-PROD-1362362091.us-east-1.elb.amazonaws.com,ec2-34-197-193-243.compute-1.amazonaws.com,Coordinator-TA11-PROD-1362362091.us-east-1.elb.amazonaws.com,"[74.0, 78.0, 66.0, 70.0, 141.0, 145.0]","[74.0, 78.0, 66.0, 70.0, 66.0]",5139,Coordinator-TA11-PROD-1362362091.us-east-1.elb.amazonaws.com,ec2-34-197-193-243.compute-1.amazonaws.com,coordinator-ta11-prod-1362362091.us-east-1.elb.amazonaws.com,ec2-34-197-193-243.compute-1.amazonaws.com,coordinator-ta11-prod-1362362091.us-east-1.elb.amazonaws.com,,False,,,,,2,2,2
Comp_00850,2,"Nest CamIQ_YT,Roku TV_YT",None,False,1.0,False,0.0,0.0,,0.0,No_Evidence,0.0,1.0,1,"1Nest,1Roku",1,"1Camera,1TV",Nest CamIQ_YT,1,nest,Camera,52.72.247.190,,TCP,nexus.dropcam.com,ec2-52-72-247-190.compute-1.amazonaws.com,nexus.dropcam.com,"[74.0, 78.0, 66.0, 70.0, 151.0, 155.0]","[74.0, 78.0, 66.0, 70.0, 66.0]",7065,nexus.dropcam.com,ec2-52-72-247-190.compute-1.amazonaws.com,nexus.dropcam.com,ec2-52-72-247-190.compute-1.amazonaws.com,nexus.dropcam.com,,False,,,,,2,2,2
