Layer,Target,Num_Devices,Device_List,Num_Vendors,Vendors,Is_Implicit,FlowUID_Count,FlowSet_Hash,Dedup_Group_ID,Dedup_Group_Size
Service,appboot.us-west-2.prodaa.netflix.com,3,Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,2,roku|samsung,TRUE,20,8d92940d28c19273cae404ffc1c71b5a81a854f9,SET_000591,1
Service,customerevents.us-west-2.prodaa.netflix.com,2,Roku TV_YT|Samsung Smart TV_YT,2,roku|samsung,TRUE,6,f231f3072f375a056957ea3f0067ec4974753748,SET_000592,1
Service,dualstack.iotmoonraker-u-elb-1bkszq0bvnbyv-1001897703.us-east-1.elb.amazonaws.com,2,Bose Sound Touch10_YT|Roomba_YT,2,bose|roomba,TRUE,21,742a8cc603ab77c16bfba28c5a0ec25875a9986b,SET_000593,1
Service,bob-dispatch-prod-na.amazon.com,10,Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen2_Our|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our|Amazon Echodot3a_IoTLS|Amazon Fire TV_IoTLS|Amazon T-echodot_IoTLS|Samsung Dryer_IoTLS,2,amazon|samsung,TRUE,286,50c93c40c9efe339f29ab9954666987e3ae7a4e3,SET_000596,1
Service,updates.amazon.com,6,Amazon Echo Gen1_UNSW|Amazon Echo Gen1_YT|Amazon Echo Gen2_Mon(us)|Amazon Fire TV_YT|Amazon T-echodot_IoTLS|Samsung Dryer_IoTLS,2,amazon|samsung,TRUE,27,e1764f7007915a8cbdcbc102b0b8bcb05f9979c4,SET_000597,1
Service,prod.amcs-tachyon.com,11,Amazon Echo Gen1_Mon(uk)|Amazon Echo Gen1_Mon(us)|Amazon Echo Gen1_Our|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Mon(us)|Amazon Echo Gen2_Our|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echodot3a_IoTLS|Amazon T-echodot_IoTLS|Samsung Dryer_IoTLS,2,amazon|samsung,TRUE,44,e02fc4a1d4841f82674275dd94dd7c21101f99ce,SET_000599,1
Service,ytimg-edge-static.l.google.com,3,LG Smart TV_Mon(us)|Samsung Smart TV_Mon(uk)|Samsung Smart TV_YT,2,lg|samsung,TRUE,33,a5a10713ffe3e0e187924dc45fcba5badad24e44,SET_000601,1
Service,play.l.google.com,3,Google Home Mini_YT|Google Home_YT|Samsung Smart TV_YT,2,google|samsung,TRUE,23,525f2ec10e459cbe3181042892682ccf328f2359,SET_000602,1
Service,dart.l.doubleclick.net,2,Amazon Fire TV_Mon(uk)|Samsung Smart TV_YT,2,amazon|samsung,TRUE,11,15284f38fd5d18c55c1545f224a1b375c54b84d1,SET_000603,1
Service,atv-ext.amazon.com,5,Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Samsung Smart TV_YT,2,amazon|samsung,TRUE,48,bcb66521f14645b28b96121d623a352ee21f2d54,SET_000604,1
Service,det-ta-g7g.amazon.com,9,Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen2_Our|Amazon Echo Gen3_Mon(uk)|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our|Amazon Echo Look_Our2|Amazon Fire TV_YT|Samsung Smart TV_YT,2,amazon|samsung,TRUE,44,899ba895f84e181fc1fe26f26bc5d9c92e59346c,SET_000607,1
